xflr5 v6.47

Kea Atmos
T4-2.0°-VLM2
QInf  =   20.000000 m/s
Alpha =    2.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.834569
Cy    =   -0.000000
Cd    =    0.023658     ICd   =    0.012528     PCd   =    0.011131
Cl   = 3.47646e-17
Cm   =   -0.124199
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.600947     YCP   =   -0.000000     ZCP   =    0.096805  
XNP   =    0.000000
Bending =   12.813120

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -2.9313     0.3000    -4.185    0.389790    0.021601    0.028520   -0.085569   -0.132745     0.8927    0.0463    0.5935    0.0000
   -2.8639     0.3000    -3.128    0.525849    0.013630    0.028737   -0.109764   -0.162369     0.8828    0.1086    0.5613    0.0067
   -2.7965     0.3000    -2.538    0.604797    0.011651    0.026813   -0.116203   -0.174266     0.8723    0.3201    0.5404    0.0224
   -2.7291     0.3000    -2.148    0.658040    0.010601    0.024685   -0.117878   -0.180125     0.8632    0.5455    0.5259    0.0485
   -2.6617     0.3000    -1.868    0.696796    0.010047    0.022720   -0.117732   -0.183410     0.8552    0.7693    0.5152    0.0860
   -2.5943     0.3000    -1.654    0.726359    0.009624    0.020980   -0.116923   -0.185437     0.8490    0.9401    0.5072    0.1353
   -2.5270     0.3000    -1.486    0.749645    0.009495    0.019453   -0.115736   -0.186781     0.8442    0.9875    0.5010    0.1972
   -2.4596     0.3000    -1.350    0.768425    0.009475    0.018114   -0.114433   -0.187724     0.8404    0.9896    0.4961    0.2720
   -2.3922     0.3000    -1.238    0.783853    0.009458    0.016936   -0.113133   -0.188415     0.8372    0.9914    0.4921    0.3599
   -2.3248     0.3000    -1.143    0.796719    0.009444    0.015898   -0.111862   -0.188939     0.8346    0.9928    0.4888    0.4613
   -2.2574     0.3000    -1.063    0.807584    0.009433    0.014978   -0.110629   -0.189348     0.8323    0.9941    0.4861    0.5764
   -2.1900     0.3000    -0.993    0.816862    0.009423    0.014161   -0.109438   -0.189675     0.8304    0.9951    0.4838    0.7054
   -2.1226     0.3000    -0.933    0.824860    0.009414    0.013433   -0.108286   -0.189944     0.8288    0.9960    0.4819    0.8483
   -2.0552     0.3000    -0.880    0.831818    0.009407    0.012781   -0.107173   -0.190171     0.8273    0.9968    0.4802    1.0055
   -1.9878     0.3000    -0.834    0.837920    0.009400    0.012196   -0.106095   -0.190367     0.8261    0.9975    0.4788    1.1770
   -1.9204     0.3000    -0.793    0.843315    0.009395    0.011670   -0.105052   -0.190543     0.8250    0.9981    0.4775    1.3628
   -1.8530     0.3000    -0.756    0.848125    0.009389    0.011196   -0.104043   -0.190707     0.8240    0.9987    0.4764    1.5631
   -1.7857     0.3000    -0.724    0.852451    0.009385    0.010768   -0.103068   -0.190870     0.8231    0.9992    0.4754    1.7780
   -1.7183     0.3000    -0.695    0.856382    0.009381    0.010384   -0.102133   -0.191041     0.8223    0.9996    0.4746    2.0076
   -1.6509     0.3000    -0.669    0.860002    0.009377    0.010043   -0.101244   -0.191237     0.8214    1.0000    0.4739    2.2518
   -1.5835     0.3000    -0.647    0.863396    0.009376    0.009754   -0.100420   -0.191483     0.8205    1.0000    0.4733    2.5108
   -1.5161     0.3000    -0.631    0.866668    0.009374    0.009552   -0.099694   -0.191822     0.8196    1.0000    0.4728    2.7847
   -1.4487     0.3000    -0.635    0.869951    0.009372    0.009641   -0.099122   -0.192324     0.8187    1.0000    0.4726    3.0734
   -1.3842     0.3000    -0.629    0.872532    0.009371    0.009584   -0.099707   -0.194723     0.8180    1.0000    0.4719    3.3580
   -1.3227     0.3000    -0.590    0.873854    0.009370    0.008995   -0.099139   -0.194300     0.8176    1.0000    0.4711    3.6515
