RUN   1 10  M BODY ALONE
   0.03750    20995.
2615.63013   0.98425  19.45538   1.96850   0.00000   0.00000
  -4.00000   0.00000  -0.00001   0.00001   0.00000   0.00000   0.00000
  -2.00000   0.00000  -0.00001   0.00001   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00001   0.00000   0.00000   0.00000
   2.00000   0.00000   0.00001   0.00001   0.00000   0.00000   0.00000
   4.00000   0.00000   0.00001   0.00001   0.00000   0.00000   0.00000
   6.00000   0.00001   0.00002   0.00001   0.00000   0.00000   0.00000
   8.00000   0.00001   0.00002   0.00001   0.00000   0.00000   0.00000
  10.00000   0.00001   0.00003   0.00001   0.00000   0.00000   0.00000
  12.00000   0.00001   0.00003   0.00001   0.00000   0.00000   0.00000
  14.00000   0.00002   0.00003   0.00001   0.00000   0.00000   0.00000
R
RUN   2 10  M WING ALONE
   0.03750    20995.
2615.63013   0.98425  19.45538   1.96850   0.00000   0.00000
  -4.00000   0.00111  -0.00074   0.00024   0.00000   0.00000   0.00000
  -2.00000   0.00254  -0.00038   0.00027   0.00000   0.00000   0.00000
   0.00000   0.00404  -0.00001   0.00021   0.00000   0.00000   0.00000
   2.00000   0.00558   0.00037   0.00005   0.00000   0.00000  -0.00001
   4.00000   0.00716   0.00076  -0.00020   0.00000   0.00000  -0.00001
   6.00000   0.00873   0.00116  -0.00055   0.00000   0.00000  -0.00001
   8.00000   0.01000   0.00150  -0.00097   0.00000   0.00000  -0.00001
  10.00000   0.01106   0.00179  -0.00145   0.00000   0.00000  -0.00001
  12.00000   0.01184   0.00202  -0.00196   0.00000   0.00000  -0.00001
  14.00000   0.01168   0.00000  -0.00235   0.00000   0.00000  -0.00001
R
RUN   3 10  M HT ALONE
   0.03750    20995.
2615.63013   0.98425  19.45538   1.96850   0.00000   0.00000
  -4.00000  -0.00033   0.00148   0.00001  -0.00350   0.00000   0.00000
  -2.00000  -0.00016   0.00072   0.00002  -0.00350   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00002   0.00000   0.00000   0.00000
   2.00000   0.00016  -0.00071   0.00002  -0.00350   0.00000   0.00000
   4.00000   0.00033  -0.00147   0.00001  -0.00350   0.00000   0.00000
   6.00000   0.00051  -0.00227  -0.00001  -0.00350   0.00000   0.00000
   8.00000   0.00069  -0.00311  -0.00005  -0.00350   0.00000   0.00000
  10.00000   0.00087  -0.00396  -0.00009  -0.00350   0.00000   0.00000
  12.00000   0.00102  -0.00470  -0.00013  -0.00350   0.00000   0.00000
  14.00000   0.00113  -0.00533  -0.00018  -0.00350   0.00000   0.00000
R
RUN   4 10  M BODY-WING
   0.03750    20995.
2615.63013   0.98425  19.45538   1.96850   0.00000   0.00000
  -4.00000   0.00111  -0.00072   0.00027   0.00000   0.00000   0.00000
  -2.00000   0.00256  -0.00036   0.00029   0.00000   0.00000   0.00000
   0.00000   0.00407   0.00001   0.00023   0.00000   0.00000   0.00000
   2.00000   0.00562   0.00039   0.00007   0.00000   0.00000  -0.00001
   4.00000   0.00721   0.00076  -0.00018   0.00000   0.00000  -0.00001
   6.00000   0.00880   0.00114  -0.00053   0.00000   0.00000  -0.00001
   8.00000   0.01008   0.00144  -0.00096   0.00000   0.00000  -0.00001
  10.00000   0.01115   0.00169  -0.00144   0.00000   0.00000  -0.00001
  12.00000   0.01194   0.00188  -0.00195   0.00000   0.00000  -0.00001
  14.00000   0.01178   0.00000  -0.00235   0.00000   0.00000  -0.00001
R
RUN   5 10  M BODY-HT
   0.03750    20995.
2615.63013   0.98425  19.45538   1.96850   0.00000   0.00000
  -4.00000  -0.00034   0.00147   0.00002NaN          0.00000   0.00000
  -2.00000  -0.00016   0.00071   0.00003   0.00000   0.00000   0.00000
   0.00000   0.00000   0.00000   0.00004   0.00000   0.00000   0.00000
   2.00000   0.00016  -0.00071   0.00003   0.00000   0.00000   0.00000
   4.00000   0.00034  -0.00146   0.00002   0.00000   0.00000   0.00000
   6.00000   0.00052  -0.00226   0.00000   0.00000   0.00000   0.00000
   8.00000   0.00070  -0.00309  -0.00003   0.00000   0.00000   0.00000
  10.00000   0.00088  -0.00393  -0.00007   0.00000   0.00000   0.00000
  12.00000   0.00103  -0.00467  -0.00012   0.00000   0.00000   0.00000
  14.00000   0.00115  -0.00529  -0.00017   0.00000   0.00000   0.00000
R
RUN   6 10  M BODY-WING-HT
   0.03750    20995.
2615.63013   0.98425  19.45538   1.96850   0.00000   0.00000
  -4.00000   0.00075   0.00090   0.00027  -0.00350   0.00000   0.00000
  -2.00000   0.00234   0.00062   0.00031   0.00000   0.00000   0.00000
   0.00000   0.00397   0.00045   0.00025   0.00000   0.00000  -0.00001
   2.00000   0.00564   0.00032   0.00010   0.00000   0.00000  -0.00001
   4.00000   0.00735   0.00015  -0.00016   0.00000   0.00000  -0.00001
   6.00000   0.00907  -0.00005  -0.00052   0.00000   0.00000  -0.00001
   8.00000   0.01048  -0.00035  -0.00096   0.00000   0.00000  -0.00001
  10.00000   0.01169  -0.00073  -0.00146   0.00000   0.00000  -0.00001
  12.00000   0.01264  -0.00121  -0.00200   0.00000   0.00000  -0.00001
  14.00000   0.01263   0.00000  -0.00243   0.00000   0.00000  -0.00001
R
